Date,Description,Debit,Credit,Purchase Type
4/10/2024,Withdrawal Cash,50,0,Withdrawal
4/18/2024,Withdrawal Cash,220,0,Withdrawal
2/29/2024,Withdrawal Cash,300,0,Withdrawal
4/11/2024,Withdrawal Cash,125,0,Withdrawal
3/28/2024,Woks It U,49.63,0,Food
2/16/2024,Woks It U,36.99,0,Food
06/26/2024,Woks It U,50.21,0,Food
1/14/2024,Woks It U,59.63,0,Food
2/25/2024,World Market,72.96,0,Supplies/Clothing
06/01/2024,World Market,94.1,0,Supplies/Clothing
01/06/2024,World Market,29.73,0,Supplies/Clothing
3/1/2024,Yeti,100.67,0,Supplies/Clothing
05/10/2024,Zen Japanese,34.4,0,Food
